Law ID,State,ST,Year,Suicides,Homicides,len_text,sentiment_score,Income,Pop,DEM_Perc,GOP_Perc,HuntLic,UniqueID,GunsAmmo,avg_own_est,SuicidesB3,HomicidesB3,SuicidesA3,HomicidesA3
CA1082,California,CA,1995,6.45,8.11,596,0.60454303,37009,31493525,0.585,0.415,0.169532647,California_1995,-0.332279552,0.419355094,6.936666667,9.24,5.646666667,5.666666667
CA1083,California,CA,1995,6.45,8.11,596,0.60454303,37009,31493525,0.585,0.415,0.169532647,California_1995,-0.332279552,0.419355094,6.936666667,9.24,5.646666667,5.666666667
CA1087,California,CA,2016,3.86,3.69,558,0.565206945,66637,39149186,0.651,0.349,0.160670983,California_2016,-1.473129582,0.213434158,3.88,3.336666667,3.88,3.435
CA1095,California,CA,2000,4.67,4.21,44,0.594403863,46816,33987977,0.562,0.438,0.157698424,California_2000,-1.125090262,0.28960494,5.356666667,4.823333333,4.463333333,4.726666667
CO1001,Colorado,CO,2004,8.77,2.78,328,0.582134068,50886,4575013,0.476,0.524,0.291173581,Colorado_2004,0.317154382,0.410866739,8.596666667,2.363333333,8.19,2.12
CO1002,Colorado,CO,2004,8.77,2.78,54,0.634732604,50886,4575013,0.476,0.524,0.291173581,Colorado_2004,0.317154382,0.410866739,8.596666667,2.363333333,8.19,2.12
CO1003,Colorado,CO,2008,7.88,2.16,868,0.552291989,60943,4889730,0.546,0.454,0.29363851,Colorado_2008,0.17837838,0.400997196,8.19,2.12,8.523333333,2.016666667
CO1006,Colorado,CO,1996,10.45,2.65,54,0.590677083,40950,3812716,0.492,0.508,0.324817381,Colorado_1996,0.380849006,0.455485556,10.05666667,3.38,8.153333333,2.516666667
CO1009,Colorado,CO,2011,8.37,1.99,414,0.5509606,58629,5121900,0.546,0.454,0.282643797,Colorado_2011,0.242816855,0.365323626,8.36,2.073333333,9.56,2.02
CO1010,Colorado,CO,2006,7.76,2.12,384,0.59005022,55697,4720423,0.476,0.524,0.304514331,Colorado_2006,0.23365395,0.385089371,8.523333333,2.56,8.36,2.053333333
CO1012,Colorado,CO,1993,11.05,3.82,1141,0.500035524,34488,3560884,0.528,0.472,0.337619691,Colorado_1993,0.33394913,0.449319867,9.805,3.205,9.856666667,2.99
CO1014,Colorado,CO,1993,11.05,3.82,103,0.560468912,34488,3560884,0.528,0.472,0.337619691,Colorado_1993,0.33394913,0.449319867,9.805,3.205,9.856666667,2.99
CO1016,Colorado,CO,1993,11.05,3.82,306,0.511768818,34488,3560884,0.528,0.472,0.337619691,Colorado_1993,0.33394913,0.449319867,9.805,3.205,9.856666667,2.99
CO1021,Colorado,CO,1994,9.86,3.33,414,0.599458635,37833,3653910,0.528,0.472,0.321379755,Colorado_1994,0.27299844,0.470229772,10.22,3.41,9.483333333,2.616666667
CO1022,Colorado,CO,1994,9.86,3.33,401,0.592349887,37833,3653910,0.528,0.472,0.321379755,Colorado_1994,0.27299844,0.470229772,10.22,3.41,9.483333333,2.616666667
CO1025,Colorado,CO,2013,9.02,1.99,328,0.582134068,67912,5270774,0.524,0.476,0.283346271,Colorado_2013,0.386873276,0.502715567,8.786666667,2.02,10.08,2.42
CO1033,Colorado,CO,2013,9.02,1.99,411,0.617691994,67912,5270774,0.524,0.476,0.283346271,Colorado_2013,0.386873276,0.502715567,8.786666667,2.02,10.08,2.42
CO1034,Colorado,CO,2013,9.02,1.99,355,0.57245326,67912,5270774,0.524,0.476,0.283346271,Colorado_2013,0.386873276,0.502715567,8.786666667,2.02,10.08,2.42
CO1035,Colorado,CO,2013,9.02,1.99,695,0.569455743,67912,5270774,0.524,0.476,0.283346271,Colorado_2013,0.386873276,0.502715567,8.786666667,2.02,10.08,2.42
CO1037,Colorado,CO,2020,,,797,0.577898562,,,0.516,0.484,,Colorado_2020,,,10.59,3.07,0,0
CO1038,Colorado,CO,2020,,,1315,0.574244678,,,0.516,0.484,,Colorado_2020,,,10.59,3.07,0,0
CO1044,Colorado,CO,1994,9.86,3.33,1133,0.547288954,37833,3653910,0.528,0.472,0.321379755,Colorado_1994,0.27299844,0.470229772,10.22,3.41,9.483333333,2.616666667
CO1045,Colorado,CO,1998,8.2,2.62,755,0.561921239,46599,3968967,0.492,0.508,0.298953988,Colorado_1998,0.392318227,0.365952397,9.483333333,2.616666667,8.296666667,2.23
CO1046,Colorado,CO,1998,8.2,2.62,755,0.561921239,46599,3968967,0.492,0.508,0.298953988,Colorado_1998,0.392318227,0.365952397,9.483333333,2.616666667,8.296666667,2.23
CO1053,Colorado,CO,2012,9.8,2.17,359,0.613547325,57255,5193660,0.524,0.476,0.283777632,Colorado_2012,0.250859263,0.443471993,8.523333333,2.016666667,9.51,2.116666667
CO1054,Colorado,CO,1993,11.05,3.82,296,0.622339189,34488,3560884,0.528,0.472,0.337619691,Colorado_1993,0.33394913,0.449319867,9.805,3.205,9.856666667,2.99
CO1055,Colorado,CO,1993,11.05,3.82,296,0.622339189,34488,3560884,0.528,0.472,0.337619691,Colorado_1993,0.33394913,0.449319867,9.805,3.205,9.856666667,2.99
CO1057,Colorado,CO,2003,8.18,2.5,235,0.542466342,49940,4528732,0.455,0.545,0.293020681,Colorado_2003,0.324397278,0.395146628,8.63,2.153333333,8.383333333,2.433333333
CO1058,Colorado,CO,2000,8.28,1.87,698,0.598629236,48240,4326921,0.455,0.545,0.275683996,Colorado_2000,0.468087657,0.45441559,8.153333333,2.516666667,8.596666667,2.363333333
CT1001,Connecticut,CT,2014,3.12,1.67,345,0.593424499,70161,3595697,0.591,0.409,0.178247315,Connecticut_2014,-0.804620344,0.204234396,2.746666667,2.736666667,2.746666667,2.096666667
