Year,ST,Permissive,Restrictive,background checks,carrying a concealed weapon (ccw),castle doctrine,child access laws,dealer license,firearm sales restrictions,minimum age,open carry,permit to purchase,prohibited possessor,registration,safety training required,waiting period,Implement,Modify,Repeal,universl,permit,sentiment_score,HuntLic,GunsAmmo,BackChk,avg_own_est,Suicides,Homicides
2005.0,GA,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9879127144813538,0.312335569,-0.852413499,-0.459470669,0.38615178499999997,6.88,4.78
2006.0,GA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9125024080276489,0.314257025,-0.746681258,-0.26814953,0.319583782,6.75,5.25
2014.0,GA,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9535995125770569,0.296059582,-0.763474649,-0.711581886,0.303801949,8.19,4.99
1992.0,HI,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.9963960766792297,0.094406245,0.209517132,-1.1893507494000002,0.2973747105,2.88,1.23
1993.0,HI,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9770228862762451,0.093903028,0.828494413,-1.2483645312,0.342533272,2.57,1.15
1994.0,HI,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,5.0,0.0,1.0,1.0,0.8558909978185382,0.095834821,0.779957473,-1.1893507494000002,0.3932984168,4.27,1.8
1995.0,HI,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9404020309448242,0.094510243,0.618045501,-1.1139875458,0.3738341498,3.69,2.13
1998.0,HI,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9770532846450806,0.092038136,-0.71648542,-1.1244973612,0.2158761202,2.28,0.66
2000.0,HI,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.8797295689582825,0.088727924,-0.82532697,-1.415245168,0.18907230079999998,2.98,0.74
2020.0,HI,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6,0.4,0.9917619824409485,0.2914043244,-0.5171217904000001,-0.25674876440000005,0.34385549260000003,5.4,4.54
1994.0,IA,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9986502528190613,0.473420473,-0.334805545,-0.726295215,0.46480640840000004,6.18,1.0
1998.0,IA,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9770532846450806,0.498770266,0.12397281,-0.7218496836000001,0.401985455,4.84,1.37
2010.0,IA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9552644491195679,0.529609932,0.288294065,-1.173223228,0.4545825495,5.59,1.15
2011.0,IA,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8143131136894226,0.53007155,0.279277205,-1.237220693,0.470663679,5.95,1.04
2017.0,IA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.8995171189308167,0.4618242196,0.3355912884,0.24035633839999998,0.45767705259999997,6.64,2.15
